GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	3301765	31628660	15093	-0.8687
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	31632609	68556488	22334	0.7582
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	68556886	83554926	8437	0.7131
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	83555307	91321022	5061	0.7429
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	91327260	91352585	40	0.4349
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	91359019	101522190	6117	0.7419
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	101522869	105314272	1791	0.6921
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	105315923	119984738	8906	-0.8836
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	119984772	185499664	22100	0.0272
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	185499741	192096080	3809	-0.0423
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	192102882	193393664	905	0.0226
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	193394254	199623632	3528	-0.0329
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	199626239	213556863	9172	0.0382
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	213557027	219751216	4327	-0.0123
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	219751451	234145160	9022	0.0314
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	234145181	234145474	2	-1.4416
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	234145846	237520202	2301	0.0414
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	237520592	243680540	4369	-0.0078
e27a40bd-19e4-4044-88c4-da6a4177deb8	1	243684422	247650984	1861	0.0275
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	480597	4124206	1707	-0.003
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	4124884	6251185	1633	-0.0422
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	6251421	12675170	4543	0.0148
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	12675414	22897087	6665	-0.0139
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	22897124	31330036	4812	0.021
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	31330528	41863771	5366	-0.0105
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	41865132	48974189	4554	0.0197
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	48974314	59598245	5756	-0.0332
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	59598684	76367848	9682	0.0081
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	76368729	83881776	3956	-0.0583
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	83881984	103147054	5904	0.0167
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	103147784	104304651	677	-0.0507
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	104305490	114236607	5080	0.0177
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	114240505	117515892	1410	-0.0474
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	117516426	122777880	3272	0.0161
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	122780435	126592401	1472	-0.0327
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	126592711	137095376	5434	0.0135
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	137097265	167881238	17377	-0.0266
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	167881296	169393724	1095	0.0153
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	169394363	169406014	3	-1.1107
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	169406225	179694203	6379	0.0165
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	179694297	189542222	4834	-0.0333
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	189542334	190827992	752	0.0029
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	190834320	190836729	5	-1.6101
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	190837055	192128925	825	-0.0033
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	192129051	195962786	1374	-0.054
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	195962957	208646338	7331	0.0073
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	208648314	212926169	2504	-0.0434
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	212927088	212928687	3	-1.2685
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	212928718	214525832	911	-0.047
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	214526141	220143308	3492	0.0292
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	220144220	229616047	6212	-0.0107
e27a40bd-19e4-4044-88c4-da6a4177deb8	2	229616250	241537572	6833	0.0246
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	2170634	4844663	1574	0.0504
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	4845191	7900605	1578	0.0186
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	7900769	17548388	6309	0.0693
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	17549761	30638506	7474	0.023
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	30639603	33388848	1796	0.0644
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	33390599	36305984	1720	0.0172
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	36306580	46293270	5898	0.0638
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	46295865	46300599	3	1.1301
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	46300938	46677872	246	0.0944
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	46679721	46679828	2	-1.7997
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	46680029	53884646	3056	0.0675
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	53885268	71070067	11241	0.0382
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	71072502	74027477	2156	0.0634
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	74027789	119808844	22710	-0.0183
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	119808913	143723932	13291	0.0166
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	143724064	162061087	9766	-0.0041
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	162061107	167672547	2297	-0.0558
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	167674855	182976788	8087	-0.0095
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	182978381	189747984	3851	0.0268
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	189750458	193962625	2581	-0.0091
e27a40bd-19e4-4044-88c4-da6a4177deb8	3	193967288	197812401	1262	0.0434
e27a40bd-19e4-4044-88c4-da6a4177deb8	4	1059384	17910609	10484	0.0035
e27a40bd-19e4-4044-88c4-da6a4177deb8	4	17913862	23847113	3693	-0.0449
